"jurisdiction","report_year","total_homicides"
"Albuquerque","1975",30
"Albuquerque","1976",28
"Albuquerque","1977",31
"Albuquerque","1978",37
"Albuquerque","1979",47
"Albuquerque","1980",49
"Albuquerque","1981",45
"Albuquerque","1982",26
"Albuquerque","1983",24
"Albuquerque","1984",28
"Albuquerque","1985",42
"Albuquerque","1986",49
"Albuquerque","1987",48
"Albuquerque","1988",49
"Albuquerque","1989",41
"Albuquerque","1990",34
"Albuquerque","1991",51
"Albuquerque","1992",42
"Albuquerque","1993",50
"Albuquerque","1994",45
"Albuquerque","1995",53
"Albuquerque","1996",70
"Albuquerque","1997",49
"Albuquerque","1998",37
"Albuquerque","1999",48
"Albuquerque","2000",33
"Albuquerque","2001",34
"Albuquerque","2002",51
"Albuquerque","2003",51
"Albuquerque","2004",41
"Albuquerque","2005",53
"Albuquerque","2006",34
"Albuquerque","2007",47
"Albuquerque","2008",38
"Albuquerque","2009",56
"Albuquerque","2010",42
"Albuquerque","2011",38
"Albuquerque","2012",41
"Albuquerque","2013",37
"Albuquerque","2014",30
"Albuquerque","2015",43
"Arlington","1975",5
"Arlington","1976",5
"Arlington","1977",4
"Arlington","1978",6
"Arlington","1979",11
"Arlington","1980",7
"Arlington","1981",12
"Arlington","1982",7
"Arlington","1983",7
"Arlington","1984",13
"Arlington","1985",18
"Arlington","1986",22
"Arlington","1987",18
"Arlington","1988",13
"Arlington","1989",11
"Arlington","1990",8
"Arlington","1991",26
"Arlington","1992",16
"Arlington","1993",7
"Arlington","1994",18
"Arlington","1995",9
"Arlington","1996",17
"Arlington","1997",12
"Arlington","1998",13
"Arlington","1999",11
"Arlington","2000",14
"Arlington","2001",15
"Arlington","2002",14
"Arlington","2003",9
"Arlington","2004",14
"Arlington","2005",24
"Arlington","2006",14
"Arlington","2007",13
"Arlington","2008",23
"Arlington","2009",12
"Arlington","2010",16
"Arlington","2011",22
"Arlington","2012",17
"Arlington","2013",18
"Arlington","2014",13
"Arlington","2015",8
"Atlanta","1975",185
"Atlanta","1976",154
"Atlanta","1977",138
"Atlanta","1978",144
"Atlanta","1979",231
"Atlanta","1980",201
"Atlanta","1981",181
"Atlanta","1982",152
"Atlanta","1983",141
"Atlanta","1984",135
"Atlanta","1985",145
"Atlanta","1986",186
"Atlanta","1987",207
"Atlanta","1988",217
"Atlanta","1989",246
"Atlanta","1990",231
"Atlanta","1991",205
"Atlanta","1992",198
"Atlanta","1993",203
"Atlanta","1994",191
"Atlanta","1995",184
"Atlanta","1996",196
"Atlanta","1997",150
"Atlanta","1998",149
"Atlanta","1999",143
"Atlanta","2000",134
"Atlanta","2001",143
"Atlanta","2002",152
"Atlanta","2003",148
"Atlanta","2004",111
"Atlanta","2005",90
"Atlanta","2006",110
"Atlanta","2007",129
"Atlanta","2008",105
"Atlanta","2009",80
"Atlanta","2010",93
"Atlanta","2011",88
"Atlanta","2012",83
"Atlanta","2013",83
"Atlanta","2014",93
"Atlanta","2015",94
"Aurora","1975",7
"Aurora","1976",2
"Aurora","1977",3
"Aurora","1978",12
"Aurora","1979",9
"Aurora","1980",10
"Aurora","1981",10
"Aurora","1982",10
"Aurora","1983",12
"Aurora","1984",13
"Aurora","1985",10
"Aurora","1986",11
"Aurora","1987",20
"Aurora","1988",15
"Aurora","1989",7
"Aurora","1990",8
"Aurora","1991",11
"Aurora","1992",16
"Aurora","1993",19
"Aurora","1994",15
"Aurora","1995",18
"Aurora","1996",11
"Aurora","1997",17
"Aurora","1998",28
"Aurora","1999",11
"Aurora","2000",22
"Aurora","2001",17
"Aurora","2002",16
"Aurora","2003",18
"Aurora","2004",13
"Aurora","2005",28
"Aurora","2006",18
"Aurora","2007",14
"Aurora","2008",18
"Aurora","2009",19
"Aurora","2010",24
"Aurora","2011",12
"Aurora","2012",17
"Aurora","2013",20
"Aurora","2014",9
"Aurora","2015",24
"Austin","1975",33
"Austin","1976",24
"Austin","1977",33
"Austin","1978",35
"Austin","1979",43
"Austin","1980",43
"Austin","1981",39
"Austin","1982",57
"Austin","1983",58
"Austin","1984",59
"Austin","1985",52
"Austin","1986",48
"Austin","1987",39
"Austin","1988",43
"Austin","1989",31
"Austin","1990",46
"Austin","1991",49
"Austin","1992",37
"Austin","1993",37
"Austin","1994",37
"Austin","1995",46
"Austin","1996",40
"Austin","1997",40
"Austin","1998",32
"Austin","1999",21
"Austin","2000",32
"Austin","2001",26
"Austin","2002",25
"Austin","2003",27
"Austin","2004",26
"Austin","2005",26
"Austin","2006",20
"Austin","2007",30
"Austin","2008",23
"Austin","2009",22
"Austin","2010",38
"Austin","2011",27
"Austin","2012",31
"Austin","2013",26
"Austin","2014",32
"Austin","2015",23
"Baltimore","1975",259
"Baltimore","1976",200
"Baltimore","1977",171
"Baltimore","1978",197
"Baltimore","1979",245
"Baltimore","1980",216
"Baltimore","1981",228
"Baltimore","1982",227
"Baltimore","1983",201
"Baltimore","1984",215
"Baltimore","1985",213
"Baltimore","1986",240
"Baltimore","1987",226
"Baltimore","1988",234
"Baltimore","1989",262
"Baltimore","1990",305
"Baltimore","1991",304
"Baltimore","1992",335
"Baltimore","1993",353
"Baltimore","1994",321
"Baltimore","1995",322
"Baltimore","1996",330
"Baltimore","1997",312
"Baltimore","1998",313
"Baltimore","1999",305
"Baltimore","2000",261
"Baltimore","2001",256
"Baltimore","2002",253
"Baltimore","2003",270
"Baltimore","2004",276
"Baltimore","2005",269
"Baltimore","2006",276
"Baltimore","2007",282
"Baltimore","2008",234
"Baltimore","2009",238
"Baltimore","2010",223
"Baltimore","2011",197
"Baltimore","2012",216
"Baltimore","2013",233
"Baltimore","2014",211
"Baltimore","2015",344
"Baltimore County","1975",25
"Baltimore County","1976",19
"Baltimore County","1977",22
"Baltimore County","1978",27
"Baltimore County","1979",21
"Baltimore County","1980",26
"Baltimore County","1981",32
"Baltimore County","1982",33
"Baltimore County","1983",34
"Baltimore County","1984",28
"Baltimore County","1985",24
"Baltimore County","1986",31
"Baltimore County","1987",32
"Baltimore County","1988",24
"Baltimore County","1989",34
"Baltimore County","1990",34
"Baltimore County","1991",25
"Baltimore County","1992",43
"Baltimore County","1993",36
"Baltimore County","1994",31
"Baltimore County","1995",38
"Baltimore County","1996",34
"Baltimore County","1997",23
"Baltimore County","1998",21
"Baltimore County","1999",30
"Baltimore County","2000",33
"Baltimore County","2001",31
"Baltimore County","2002",29
"Baltimore County","2003",31
"Baltimore County","2004",28
"Baltimore County","2005",40
"Baltimore County","2006",34
"Baltimore County","2007",36
"Baltimore County","2008",30
"Baltimore County","2009",32
"Baltimore County","2010",20
"Baltimore County","2011",30
"Baltimore County","2012",24
"Baltimore County","2013",20
"Baltimore County","2014",25
"Baltimore County","2015",0
"Boston","1975",119
"Boston","1976",81
"Boston","1977",75
"Boston","1978",72
"Boston","1979",92
"Boston","1980",92
"Boston","1981",100
"Boston","1982",93
"Boston","1983",90
"Boston","1984",82
"Boston","1985",87
"Boston","1986",105
"Boston","1987",76
"Boston","1988",93
"Boston","1989",99
"Boston","1990",143
"Boston","1991",113
"Boston","1992",73
"Boston","1993",98
"Boston","1994",85
"Boston","1995",96
"Boston","1996",59
"Boston","1997",43
"Boston","1998",34
"Boston","1999",31
"Boston","2000",39
"Boston","2001",65
"Boston","2002",60
"Boston","2003",39
"Boston","2004",61
"Boston","2005",73
"Boston","2006",75
"Boston","2007",65
"Boston","2008",62
"Boston","2009",50
"Boston","2010",73
"Boston","2011",63
"Boston","2012",57
"Boston","2013",39
"Boston","2014",53
"Boston","2015",38
"Buffalo","1975",63
"Buffalo","1976",54
"Buffalo","1977",45
"Buffalo","1978",44
"Buffalo","1979",52
"Buffalo","1980",61
"Buffalo","1981",25
"Buffalo","1982",42
"Buffalo","1983",43
"Buffalo","1984",35
"Buffalo","1985",31
"Buffalo","1986",35
"Buffalo","1987",35
"Buffalo","1988",43
"Buffalo","1989",37
"Buffalo","1990",37
"Buffalo","1991",50
"Buffalo","1992",76
"Buffalo","1993",76
"Buffalo","1994",90
"Buffalo","1995",62
"Buffalo","1996",56
"Buffalo","1997",46
"Buffalo","1998",39
"Buffalo","1999",32
"Buffalo","2000",39
"Buffalo","2001",64
"Buffalo","2002",43
"Buffalo","2003",65
"Buffalo","2004",51
"Buffalo","2005",56
"Buffalo","2006",74
"Buffalo","2007",54
"Buffalo","2008",37
"Buffalo","2009",60
"Buffalo","2010",55
"Buffalo","2011",36
"Buffalo","2012",48
"Buffalo","2013",47
"Buffalo","2014",60
"Buffalo","2015",41
"Charlotte","1975",68
"Charlotte","1976",52
"Charlotte","1977",47
"Charlotte","1978",51
"Charlotte","1979",50
"Charlotte","1980",60
"Charlotte","1981",51
"Charlotte","1982",48
"Charlotte","1983",44
"Charlotte","1984",54
"Charlotte","1985",56
"Charlotte","1986",53
"Charlotte","1987",52
"Charlotte","1988",46
"Charlotte","1989",73
"Charlotte","1990",93
"Charlotte","1991",114
"Charlotte","1992",99
"Charlotte","1993",122
"Charlotte","1994",87
"Charlotte","1995",89
"Charlotte","1996",71
"Charlotte","1997",59
"Charlotte","1998",65
"Charlotte","1999",84
"Charlotte","2000",75
"Charlotte","2001",66
"Charlotte","2002",67
"Charlotte","2003",66
"Charlotte","2004",59
"Charlotte","2005",85
"Charlotte","2006",83
"Charlotte","2007",76
"Charlotte","2008",83
"Charlotte","2009",58
"Charlotte","2010",61
"Charlotte","2011",56
"Charlotte","2012",52
"Charlotte","2013",59
"Charlotte","2014",47
"Charlotte","2015",61
"Chicago","1975",818
"Chicago","1976",814
"Chicago","1977",823
"Chicago","1978",787
"Chicago","1979",856
"Chicago","1980",863
"Chicago","1981",877
"Chicago","1982",668
"Chicago","1983",729
"Chicago","1984",741
"Chicago","1985",666
"Chicago","1986",754
"Chicago","1987",689
"Chicago","1988",660
"Chicago","1989",742
"Chicago","1990",851
"Chicago","1991",925
"Chicago","1992",960
"Chicago","1993",862
"Chicago","1994",938
"Chicago","1995",824
"Chicago","1996",789
"Chicago","1997",757
"Chicago","1998",703
"Chicago","1999",641
"Chicago","2000",631
"Chicago","2001",666
"Chicago","2002",648
"Chicago","2003",598
"Chicago","2004",448
"Chicago","2005",448
"Chicago","2006",468
"Chicago","2007",443
"Chicago","2008",510
"Chicago","2009",458
"Chicago","2010",432
"Chicago","2011",431
"Chicago","2012",500
"Chicago","2013",416
"Chicago","2014",415
"Chicago","2015",478
"Cincinnati","1975",64
"Cincinnati","1976",56
"Cincinnati","1977",72
"Cincinnati","1978",57
"Cincinnati","1979",50
"Cincinnati","1980",48
"Cincinnati","1981",43
"Cincinnati","1982",52
"Cincinnati","1983",27
"Cincinnati","1984",36
"Cincinnati","1985",45
"Cincinnati","1986",46
"Cincinnati","1987",69
"Cincinnati","1988",47
"Cincinnati","1989",45
"Cincinnati","1990",49
"Cincinnati","1991",54
"Cincinnati","1992",49
"Cincinnati","1993",39
"Cincinnati","1994",38
"Cincinnati","1995",50
"Cincinnati","1996",32
"Cincinnati","1997",0
"Cincinnati","1998",0
"Cincinnati","1999",28
"Cincinnati","2000",22
"Cincinnati","2001",56
"Cincinnati","2002",70
"Cincinnati","2003",72
"Cincinnati","2004",64
"Cincinnati","2005",79
"Cincinnati","2006",90
"Cincinnati","2007",62
"Cincinnati","2008",75
"Cincinnati","2009",55
"Cincinnati","2010",68
"Cincinnati","2011",61
"Cincinnati","2012",47
"Cincinnati","2013",70
"Cincinnati","2014",60
"Cincinnati","2015",66
"Cleveland","1975",288
"Cleveland","1976",236
"Cleveland","1977",249
"Cleveland","1978",213
"Cleveland","1979",274
"Cleveland","1980",265
"Cleveland","1981",233
"Cleveland","1982",195
"Cleveland","1983",148
"Cleveland","1984",156
"Cleveland","1985",131
"Cleveland","1986",124
"Cleveland","1987",145
"Cleveland","1988",137
"Cleveland","1989",144
"Cleveland","1990",168
"Cleveland","1991",175
"Cleveland","1992",157
"Cleveland","1993",167
"Cleveland","1994",132
"Cleveland","1995",129
"Cleveland","1996",103
"Cleveland","1997",77
"Cleveland","1998",81
"Cleveland","1999",78
"Cleveland","2000",71
"Cleveland","2001",77
"Cleveland","2002",80
"Cleveland","2003",73
"Cleveland","2004",79
"Cleveland","2005",110
"Cleveland","2006",77
"Cleveland","2007",90
"Cleveland","2008",55
"Cleveland","2009",83
"Cleveland","2010",81
"Cleveland","2011",74
"Cleveland","2012",85
"Cleveland","2013",58
"Cleveland","2014",63
"Cleveland","2015",0
"Columbus","1975",62
"Columbus","1976",53
"Columbus","1977",69
"Columbus","1978",67
"Columbus","1979",69
"Columbus","1980",87
"Columbus","1981",91
"Columbus","1982",92
"Columbus","1983",74
"Columbus","1984",62
"Columbus","1985",72
"Columbus","1986",78
"Columbus","1987",85
"Columbus","1988",69
"Columbus","1989",90
"Columbus","1990",89
"Columbus","1991",138
"Columbus","1992",113
"Columbus","1993",105
"Columbus","1994",100
"Columbus","1995",77
"Columbus","1996",89
"Columbus","1997",84
"Columbus","1998",78
"Columbus","1999",71
"Columbus","2000",67
"Columbus","2001",81
"Columbus","2002",81
"Columbus","2003",109
"Columbus","2004",78
"Columbus","2005",103
"Columbus","2006",85
"Columbus","2007",79
"Columbus","2008",100
"Columbus","2009",82
"Columbus","2010",95
"Columbus","2011",87
"Columbus","2012",71
"Columbus","2013",78
"Columbus","2014",85
"Columbus","2015",77
"Dallas","1975",237
"Dallas","1976",230
"Dallas","1977",224
"Dallas","1978",230
"Dallas","1979",307
"Dallas","1980",319
"Dallas","1981",298
"Dallas","1982",306
"Dallas","1983",268
"Dallas","1984",294
"Dallas","1985",301
"Dallas","1986",347
"Dallas","1987",323
"Dallas","1988",366
"Dallas","1989",351
"Dallas","1990",447
"Dallas","1991",500
"Dallas","1992",387
"Dallas","1993",317
"Dallas","1994",295
"Dallas","1995",276
"Dallas","1996",217
"Dallas","1997",209
"Dallas","1998",252
"Dallas","1999",191
"Dallas","2000",231
"Dallas","2001",240
"Dallas","2002",196
"Dallas","2003",226
"Dallas","2004",248
"Dallas","2005",202
"Dallas","2006",187
"Dallas","2007",200
"Dallas","2008",170
"Dallas","2009",166
"Dallas","2010",148
"Dallas","2011",133
"Dallas","2012",154
"Dallas","2013",143
"Dallas","2014",116
"Dallas","2015",136
"Denver","1975",74
"Denver","1976",86
"Denver","1977",73
"Denver","1978",97
"Denver","1979",66
"Denver","1980",99
"Denver","1981",100
"Denver","1982",68
"Denver","1983",78
"Denver","1984",82
"Denver","1985",72
"Denver","1986",91
"Denver","1987",79
"Denver","1988",69
"Denver","1989",55
"Denver","1990",67
"Denver","1991",88
"Denver","1992",95
"Denver","1993",74
"Denver","1994",81
"Denver","1995",81
"Denver","1996",64
"Denver","1997",69
"Denver","1998",51
"Denver","1999",63
"Denver","2000",32
"Denver","2001",45
"Denver","2002",51
"Denver","2003",63
"Denver","2004",87
"Denver","2005",59
"Denver","2006",51
"Denver","2007",47
"Denver","2008",40
"Denver","2009",35
"Denver","2010",28
"Denver","2011",37
"Denver","2012",39
"Denver","2013",41
"Denver","2014",31
"Denver","2015",53
"Detroit","1975",633
"Detroit","1976",663
"Detroit","1977",479
"Detroit","1978",498
"Detroit","1979",452
"Detroit","1980",547
"Detroit","1981",502
"Detroit","1982",513
"Detroit","1983",580
"Detroit","1984",514
"Detroit","1985",635
"Detroit","1986",648
"Detroit","1987",686
"Detroit","1988",629
"Detroit","1989",624
"Detroit","1990",582
"Detroit","1991",615
"Detroit","1992",595
"Detroit","1993",579
"Detroit","1994",541
"Detroit","1995",475
"Detroit","1996",428
"Detroit","1997",469
"Detroit","1998",430
"Detroit","1999",415
"Detroit","2000",396
"Detroit","2001",395
"Detroit","2002",402
"Detroit","2003",366
"Detroit","2004",385
"Detroit","2005",373
"Detroit","2006",421
"Detroit","2007",392
"Detroit","2008",323
"Detroit","2009",363
"Detroit","2010",310
"Detroit","2011",344
"Detroit","2012",386
"Detroit","2013",316
"Detroit","2014",298
"Detroit","2015",295
"El Paso","1975",21
"El Paso","1976",25
"El Paso","1977",32
"El Paso","1978",21
"El Paso","1979",33
"El Paso","1980",54
"El Paso","1981",35
"El Paso","1982",41
"El Paso","1983",33
"El Paso","1984",24
"El Paso","1985",22
"El Paso","1986",46
"El Paso","1987",25
"El Paso","1988",31
"El Paso","1989",41
"El Paso","1990",34
"El Paso","1991",49
"El Paso","1992",44
"El Paso","1993",47
"El Paso","1994",44
"El Paso","1995",37
"El Paso","1996",30
"El Paso","1997",24
"El Paso","1998",17
"El Paso","1999",14
"El Paso","2000",20
"El Paso","2001",20
"El Paso","2002",14
"El Paso","2003",21
"El Paso","2004",11
"El Paso","2005",14
"El Paso","2006",13
"El Paso","2007",17
"El Paso","2008",17
"El Paso","2009",12
"El Paso","2010",5
"El Paso","2011",16
"El Paso","2012",23
"El Paso","2013",10
"El Paso","2014",21
"El Paso","2015",17
"Fairfax County","1975",21
"Fairfax County","1976",17
"Fairfax County","1977",13
"Fairfax County","1978",17
"Fairfax County","1979",11
"Fairfax County","1980",21
"Fairfax County","1981",14
"Fairfax County","1982",10
"Fairfax County","1983",13
"Fairfax County","1984",16
"Fairfax County","1985",4
"Fairfax County","1986",14
"Fairfax County","1987",14
"Fairfax County","1988",23
"Fairfax County","1989",28
"Fairfax County","1990",27
"Fairfax County","1991",20
"Fairfax County","1992",18
"Fairfax County","1993",17
"Fairfax County","1994",19
"Fairfax County","1995",15
"Fairfax County","1996",14
"Fairfax County","1997",16
"Fairfax County","1998",15
"Fairfax County","1999",15
"Fairfax County","2000",2
"Fairfax County","2001",2
"Fairfax County","2002",8
"Fairfax County","2003",6
"Fairfax County","2004",2
"Fairfax County","2005",14
"Fairfax County","2006",14
"Fairfax County","2007",15
"Fairfax County","2008",18
"Fairfax County","2009",13
"Fairfax County","2010",23
"Fairfax County","2011",11
"Fairfax County","2012",16
"Fairfax County","2013",12
"Fairfax County","2014",10
"Fairfax County","2015",14
"Fort Worth","1975",69
"Fort Worth","1976",70
"Fort Worth","1977",102
"Fort Worth","1978",86
"Fort Worth","1979",99
"Fort Worth","1980",106
"Fort Worth","1981",113
"Fort Worth","1982",103
"Fort Worth","1983",112
"Fort Worth","1984",119
"Fort Worth","1985",128
"Fort Worth","1986",200
"Fort Worth","1987",135
"Fort Worth","1988",97
"Fort Worth","1989",113
"Fort Worth","1990",130
"Fort Worth","1991",195
"Fort Worth","1992",153
"Fort Worth","1993",133
"Fort Worth","1994",132
"Fort Worth","1995",108
"Fort Worth","1996",68
"Fort Worth","1997",74
"Fort Worth","1998",64
"Fort Worth","1999",67
"Fort Worth","2000",61
"Fort Worth","2001",67
"Fort Worth","2002",53
"Fort Worth","2003",57
"Fort Worth","2004",52
"Fort Worth","2005",60
"Fort Worth","2006",50
"Fort Worth","2007",58
"Fort Worth","2008",49
"Fort Worth","2009",44
"Fort Worth","2010",63
"Fort Worth","2011",51
"Fort Worth","2012",46
"Fort Worth","2013",49
"Fort Worth","2014",53
"Fort Worth","2015",56
"Fresno","1975",25
"Fresno","1976",28
"Fresno","1977",52
"Fresno","1978",42
"Fresno","1979",43
"Fresno","1980",49
"Fresno","1981",33
"Fresno","1982",33
"Fresno","1983",32
"Fresno","1984",34
"Fresno","1985",46
"Fresno","1986",53
"Fresno","1987",33
"Fresno","1988",39
"Fresno","1989",42
"Fresno","1990",66
"Fresno","1991",52
"Fresno","1992",81
"Fresno","1993",87
"Fresno","1994",84
"Fresno","1995",71
"Fresno","1996",69
"Fresno","1997",60
"Fresno","1998",36
"Fresno","1999",26
"Fresno","2000",24
"Fresno","2001",40
"Fresno","2002",42
"Fresno","2003",37
"Fresno","2004",53
"Fresno","2005",49
"Fresno","2006",52
"Fresno","2007",52
"Fresno","2008",40
"Fresno","2009",42
"Fresno","2010",45
"Fresno","2011",35
"Fresno","2012",51
"Fresno","2013",40
"Fresno","2014",47
"Fresno","2015",39
"Honolulu","1975",58
"Honolulu","1976",40
"Honolulu","1977",46
"Honolulu","1978",38
"Honolulu","1979",48
"Honolulu","1980",65
"Honolulu","1981",40
"Honolulu","1982",25
"Honolulu","1983",45
"Honolulu","1984",25
"Honolulu","1985",36
"Honolulu","1986",46
"Honolulu","1987",36
"Honolulu","1988",28
"Honolulu","1989",43
"Honolulu","1990",34
"Honolulu","1991",29
"Honolulu","1992",31
"Honolulu","1993",31
"Honolulu","1994",35
"Honolulu","1995",38
"Honolulu","1996",27
"Honolulu","1997",34
"Honolulu","1998",17
"Honolulu","1999",37
"Honolulu","2000",20
"Honolulu","2001",20
"Honolulu","2002",18
"Honolulu","2003",15
"Honolulu","2004",26
"Honolulu","2005",15
"Honolulu","2006",17
"Honolulu","2007",19
"Honolulu","2008",18
"Honolulu","2009",14
"Honolulu","2010",19
"Honolulu","2011",14
"Honolulu","2012",11
"Honolulu","2013",18
"Honolulu","2014",19
"Honolulu","2015",15
"Houston","1975",347
"Houston","1976",321
"Houston","1977",376
"Houston","1978",484
"Houston","1979",654
"Houston","1980",524
"Houston","1981",497
"Houston","1982",678
"Houston","1983",561
"Houston","1984",473
"Houston","1985",457
"Houston","1986",408
"Houston","1987",323
"Houston","1988",440
"Houston","1989",459
"Houston","1990",568
"Houston","1991",608
"Houston","1992",465
"Houston","1993",446
"Houston","1994",375
"Houston","1995",316
"Houston","1996",261
"Houston","1997",254
"Houston","1998",254
"Houston","1999",241
"Houston","2000",230
"Houston","2001",267
"Houston","2002",256
"Houston","2003",278
"Houston","2004",272
"Houston","2005",334
"Houston","2006",377
"Houston","2007",351
"Houston","2008",294
"Houston","2009",287
"Houston","2010",269
"Houston","2011",198
"Houston","2012",217
"Houston","2013",214
"Houston","2014",242
"Houston","2015",303
"Indianapolis","1975",95
"Indianapolis","1976",68
"Indianapolis","1977",80
"Indianapolis","1978",76
"Indianapolis","1979",92
"Indianapolis","1980",107
"Indianapolis","1981",65
"Indianapolis","1982",69
"Indianapolis","1983",56
"Indianapolis","1984",49
"Indianapolis","1985",59
"Indianapolis","1986",63
"Indianapolis","1987",57
"Indianapolis","1988",79
"Indianapolis","1989",41
"Indianapolis","1990",58
"Indianapolis","1991",95
"Indianapolis","1992",88
"Indianapolis","1993",68
"Indianapolis","1994",108
"Indianapolis","1995",82
"Indianapolis","1996",114
"Indianapolis","1997",118
"Indianapolis","1998",143
"Indianapolis","1999",113
"Indianapolis","2000",96
"Indianapolis","2001",112
"Indianapolis","2002",112
"Indianapolis","2003",105
"Indianapolis","2004",109
"Indianapolis","2005",108
"Indianapolis","2006",140
"Indianapolis","2007",114
"Indianapolis","2008",114
"Indianapolis","2009",99
"Indianapolis","2010",92
"Indianapolis","2011",96
"Indianapolis","2012",97
"Indianapolis","2013",129
"Indianapolis","2014",136
"Indianapolis","2015",148
"Jacksonville","1975",91
"Jacksonville","1976",90
"Jacksonville","1977",77
"Jacksonville","1978",79
"Jacksonville","1979",73
"Jacksonville","1980",70
